Client_ID,Num_Phones_Configured,Num_AD_Entries,Deployment_Success_Rate (%)
1,43,40,100.0
2,33,30,100.0
3,19,15,81.6
4,47,45,100.0
5,12,12,74.07
6,25,22,83.12
7,43,42,100.0
8,23,20,94.28
9,27,26,90.94
10,15,14,86.72
11,15,12,82.91
12,28,24,87.97
13,40,39,100.0
14,44,43,100.0
15,28,25,91.32
16,7,6,83.12
17,26,25,77.4
18,6,3,78.01
19,28,25,91.94
20,48,48,100.0
21,34,30,96.46
22,42,38,92.46
23,6,5,73.4
24,25,21,90.59
25,37,36,100.0
26,16,16,80.21
27,26,23,85.86
28,48,45,100.0
29,29,26,96.88
30,31,27,95.24
31,46,46,100.0
32,32,28,96.97
33,20,16,85.29
34,19,19,90.04
35,48,48,100.0
36,7,7,73.96
37,41,41,100.0
38,11,8,70.58
39,25,23,90.88
40,13,11,81.11
41,43,43,100.0
42,22,20,85.83
43,8,6,68.72
44,29,29,91.1
45,18,16,82.09
46,13,9,75.19
47,30,29,92.89
48,6,5,76.52
49,24,24,98.63
50,32,29,95.57
